category	name	inputs	outputs	definition
arithmetic	+	2f	1f	a+b
arithmetic	-	2f	1f	a-b
arithmetic	*	2f	1f	a*b
arithmetic	/	2f	1f	a/b
boolean	not	1b	1b	!a
boolean	or	2b	1b	a||b
boolean	and	2b	1b	a&&b
boolean	xor	2b	1b	a!=b
boolean	==	2f	1b	a==b
boolean	!=	2f	1b	a!=b
boolean	>=	2f	1b	a>=b
boolean	>	2f	1b	a>b
boolean	<=	2f	1b	a<=b
boolean	<	2f	1b	a<b
stack	dup	1v	2v	a,a
stack	drop	1v	0	_=a
stack	swap	2v	2v	b,a
stack	rot	3v	3v	c,a,b
math	abs	1f	1f	math.Abs(a)
math	ceil	1f	1f	math.Ceil(a)
math	floor	1f	1f	math.Floor(a)
math	trunc	1f	1f	math.Trunc(a)
math	round	1f	1f	math.Round(a)
math	sin	1f	1f	math.Sin(a)
math	cos	1f	1f	math.Cos(a)
math	tan	1f	1f	math.Tan(a)
math	atan	1f	1f	math.Atan(a)
math	atan2	2f	1f	math.Atan2(b,a)
math	asin	1f	1f	math.Asin(a)
math	acos	1f	1f	math.Acos(a)
math	exp	1f	1f	math.Exp(a)
math	log	1f	1f	math.Log(a)
math	sqrt	1f	1f	math.Sqrt(a)
math	pow	2f	1f	math.Pow(a,b)
math	min	2f	1f	math.Min(a,b)
math	max	2f	1f	math.Max(a,b)
math	mod	2f	1f	math.Mod(a,b)
math	inf	0	1f	math.Inf(1)
math	nan	0	1f	math.NaN()
string	strequal	2s	1b	a==b
string	strlen	1s	1f	float64(len(a))
string	strlower	1s	1s	strings.ToLower(a)
string	strupper	1s	1s	strings.ToUpper(a)
string	strcompare	2s	1f	float64(strings.Compare(a,b))
string	strconcat	2s	1s	a+b
string	strcontains	2s	1b	strings.Contains(a,b)
string	strcount	2s	1f	float64(strings.Count(a,b))
string	strreplace	3s	1s	strings.Replace(a,b,c,-1)
string	strsplit	2s	0	a,b,_=strings.Cut(a,b);state.push2s(a,b)
io	print	1v	0	state.printv(a)
